corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
bora	ajyuwa	0001	#	#	##	##				
bora	ajyuwa	0001	Píívyéébe-va-pe	God-QUOT-REM	np.d:a	np	d	a	1001	new
bora	ajyuwa	0001	piivye-tso-hi	grow-CAUS-PRED	v:pred	v		pred		
bora	ajyuwa	0001	tujkénu-e-pi-ke	beginning-PERT-CLF.male-ACC	np.h:p	np	h	p	1002	new
bora	ajyuwa	0001	mɨa-múnaa-pi-ke	true-people-CLF.man-ACC	np.h:appos	np	h	appos	1002	
bora	ajyuwa	0002	#	#	##	##				
bora	ajyuwa	0002	aa	CON	other	other				
bora	ajyuwa	0002	-Vbe	-M.SG	-pro.h:dt_s	-pro	h	dt_s	1002	
bora	ajyuwa	0002	i-	3-	-ln_pro.h:poss	-ln_pro	h	poss	1002	
bora	ajyuwa	0002	cohbo-du	continuation-CMPV	np:other	np		other		
bora	ajyuwa	0002	tsɨ́ɨ́mene-va-híjcya	child-VBZ.have-REP	v:pred	v		pred		
bora	ajyuwa	0002	-Vbe	-M.SG	-pro.h:s	-pro	h	s	1002	
bora	ajyuwa	0003	#	#	##	##				
bora	ajyuwa	0003	tee-ne-lliíhye	3-INAN-BEN	other	other				
bora	ajyuwa	0003	i-	3-	-ln_pro.h:poss	-ln_pro	h	poss	1002	
bora	ajyuwa	0003	ja	house	np:p	np		p	1003	new
bora	ajyuwa	0003	meenu	do	v:pred	v		pred		
bora	ajyuwa	0003	-Vbe	-M.SG	-pro.h:a	-pro	h	a	1002	
bora	ajyuwa	0004	#	#	##	##				
bora	ajyuwa	0004	di-te-va-pe	3-PL-QUOT-REM	pro.h:dt_s	pro	h	dt_s	1004	bridging
bora	ajyuwa	0004	i=	3=	=pro.h:s	=pro	h	s	1004	
bora	ajyuwa	0004	ijcya-ki	be-PURP	v:pred	v		pred		
bora	ajyuwa	0004	i-	3-	-ln_pro.h:poss	-ln_pro	h	poss	1002	
bora	ajyuwa	0004	ja	house	np:p	np		p	1003	
bora	ajyuwa	0004	#	#	##	##				
bora	ajyuwa	0004	di-Vbe-ma	3-M.SG-SOC	pro.h:ncs	pro	h	ncs	1002	
bora	ajyuwa	0004	kémúh-re-juco	many-REST-AFIR	other:pred	other		pred		
bora	ajyuwa	0005	#	#	##	##				
bora	ajyuwa	0005	aa	CON	other	other				
bora	ajyuwa	0005	-Vbe	-M.SG	-pro.h:s	-pro	h	s	1002	
bora	ajyuwa	0005	-va-pe	-QUOT-REM	-other	-other				
bora	ajyuwa	0005	tsa-ijyu	one-CLF.time	other	other				
bora	ajyuwa	0005	ɨ́jtsá-meí	think-REFL	v:pred	v		pred		
bora	ajyuwa	0005	#	#	#cc:other	#cc		other		
bora	ajyuwa	0005	i-	3-	-ln_pro.h:poss	-ln_pro	h	poss	1002	
bora	ajyuwa	0005	llií-mútsi-ke	son-M.DU-ACC	np.h:p	np	h	p	1005	bridging
bora	ajyuwa	0005	i=	3=	=pro.h:s	=pro	h	s	1002	
bora	ajyuwa	0005	ámejcá-nu-i-ne	festival-VBZ.do-FUT-INAN	v:pred	v		pred		
bora	ajyuwa	0005	#	#	#rc	#rc				
bora	ajyuwa	0005	wallee	woman	np.h:pred	np	h	pred	1005	
bora	ajyuwa	0005	wajpii	man	rn	rn				
bora	ajyuwa	0005	ijcya-ne	be-INAN	cop	cop				
bora	ajyuwa	0006	#	#	##	##				
bora	ajyuwa	0006	aa	CON	other	other				
bora	ajyuwa	0006	-Vbe	-M.SG	-pro.h:a	-pro	h	a	1002	
bora	ajyuwa	0006	-va-pe	-QUOT-REM	-other	-other				
bora	ajyuwa	0006	tsúúca	already	other	other				
bora	ajyuwa	0006	i-	3-	-ln_pro.h:poss	-ln_pro	h	poss	1002	
bora	ajyuwa	0006	cuwáábe-ke	people-ACC	np.h:p2	np	h	p2	1006	bridging
bora	ajyuwa	0006	nee	say	v:pred	v		pred		
bora	ajyuwa	0006	#	#	#cc:p	#cc		p		
bora	ajyuwa	0006	i=	3=	=pro.h:s	=pro	h	s	1006	
bora	ajyuwa	0006	úme-nu-i-ne	vegetal_salt-VBZ.do-FUT-INAN	v:pred	v		pred		
bora	ajyuwa	0006	#	#	##	##				
bora	ajyuwa	0006	wallee-mu-ke	woman-PL-ACC	np.h:p2	np	h	p2	1007	bridging
bora	ajyuwa	0006	nee	say	v:pred	v		pred		
bora	ajyuwa	0006	-Vbe	-M.SG	-pro.h:a	-pro	h	a	1002	
bora	ajyuwa	0006	#	#	#cc:p	#cc		p		
bora	ajyuwa	0006	di-te	3-PL	pro.h:s	pro	h	s	1007	
bora	ajyuwa	0006	caátso-i-ne	extract_manioc-FUT-INAN	v:pred	v		pred		
bora	ajyuwa	0007	#	#	##	##				
bora	ajyuwa	0007	aa	CON	other	other				
bora	ajyuwa	0007	-me	-CLF.PL	-pro.h:dt_a	-pro	h	dt_a	1007	
bora	ajyuwa	0007	-va-pe	-QUOT-REM	-other	-other				
bora	ajyuwa	0007	tsúúca	already	other	other				
bora	ajyuwa	0007	tee-ne	3-INAN	other	other				
bora	ajyuwa	0007	wallee-mu	woman-PL	np.h:a	np	h	a	1007	
bora	ajyuwa	0007	íjtya-mu	starch-PL	np:p	np		p	1008	new
bora	ajyuwa	0007	ujcu-juco-hi	get-AFIR-PRED	v:pred	v		pred		
bora	ajyuwa	0008	#	#	##	##				
bora	ajyuwa	0008	di-te-va-pe	3-PL-QUOT-REM	pro.h:dt_a	pro	h	dt_a	1006	
bora	ajyuwa	0008	wajpii-mu	man-PL	np.h:a	np	h	a	1006	
bora	ajyuwa	0008	tsúúca	already	other	other				
bora	ajyuwa	0008	#	#	#cc:p	#cc		p		
bora	ajyuwa	0008	i=	3=	=pro.h:s	=pro	h	s	1006	
bora	ajyuwa	0008	taáva-ne	hunt-INAN	v:pred	v		pred		
bora	ajyuwa	0008	%	%	%	%				
bora	ajyuwa	0008	ɨ́toj-tso	smoke-CAUS	v:pred	v		pred		
bora	ajyuwa	0008	#	#	##	##				
bora	ajyuwa	0008	tee-ne	3-INAN	other	other				
