ID,Source_Referent_ID,Target_Referent_ID,Relation
1,1005,1004,<
2,1006,1004,<
3,1007,1004,<
4,1009,1004,<
5,1010,1005,<
6,1014,1012,M
7,1016,1002,>
8,1017,1013,M
9,1019,1002,>
10,1019,1011,>
11,1020,1005,<
12,1021,1014,M
13,1033,1002,>
14,1033,1006,>
15,1035,1010,>
16,1040,1007,<
17,1040,1016,<
18,1050,1010,>
19,1050,1020,>
20,1051,1035,>
21,1051,1044,>
22,1051,1045,>
23,1054,1052,M
24,1055,1044,M
25,1060,1035,<
26,1061,1060,M
27,1063,1057,M
28,1066,1065,M
29,1067,1065,M
30,1068,1065,M
31,1084,1168,<
32,1086,1168,<
33,1087,1086,M
34,1091,1075,M
35,1098,1095,M
36,1102,1010,>
37,1102,1100,>
38,1104,1010,>
39,1104,1011,>
40,1107,1020,M
41,1113,1112,M
42,1117,1010,M
43,1123,1121,M
44,1138,1010,>
45,1138,1133,>
46,1156,1010,M
47,1159,1011,M
48,1160,1157,M
49,1161,1016,<
50,1162,1016,<
51,1165,1002,>
52,1166,1056,>
53,1166,1057,>
54,1169,1095,M
55,2006,2079,<
56,2007,2079,<
57,2008,2079,<
58,2009,2079,<
59,2010,2008,>
60,2010,2009,>
61,2011,2006,>
62,2011,2007,>
63,2013,2013,M
64,2014,2008,<
65,2015,2008,<
66,2016,2008,<
67,2018,2017,<
68,2020,2017,<
69,2022,2017,<
70,2025,2020,>
71,2025,2022,>
72,2028,2007,>
73,2028,2020,>
74,2028,2022,>
75,2031,2007,>
76,2031,2017,>
77,2035,2034,M
78,2039,2006,>
79,2039,2038,>
80,2041,2040,<
81,2053,2045,M
82,2055,2043,>
83,2055,2044,>
84,2060,2058,M
85,2073,2072,M
86,2075,2038,M
87,2076,2038,M
88,2084,2045,M
89,2086,2085,>
90,2089,2037,>
91,2089,2038,>
92,2089,2074,>
