ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Media_IDs,Position,Audio_Start,Audio_End,graid,add_orthography,Text_ID,refind,refindFK,isnref
ajyuwa_0001,mcbora,píívyéébeváa píívyetsóhí tujkénúéjpiikye mɨ́amúnáájpiíkye,#	Píívyéébe-va-pe	piivye-tso-hi	tujkénu-e-pi-ke	mɨa-múnaa-pi-ke,#	God-QUOT-REM	grow-CAUS-PRED	beginning-PERT-CLF.male-ACC	true-people-CLF.man-ACC,"It is said, that the Creator created the first man, the first human being",en,MORPHEME_ALIGNED,,ajyuwa_mp3 ajyuwa_wav ajyuwa_eaf ajyuwa_xml ajyuwa_tsv,,13620,17280,##	np.d:a	v:pred	np.h:p	np.h:appos,,ajyuwa,∅	1001	∅	1002	1002,∅	1001	∅	1002	1002,∅	new	∅	new	∅
ajyuwa_0002,mcbora,aabe icyóhbodu tsɨ́ɨ́mávahíjcyaábe,#	aa	-Vbe	i-	cohbo-du	tsɨ́ɨ́mene-va-híjcya	-Vbe,#	CON	-M.SG	3-	continuation-CMPV	child-VBZ.have-REP	-M.SG,Then he had children,en,MORPHEME_ALIGNED,,ajyuwa_mp3 ajyuwa_wav ajyuwa_eaf ajyuwa_xml ajyuwa_tsv,,19060,23070,##	other	-pro.h:dt_s	-ln_pro.h:poss	np:other	v:pred	-pro.h:s,,ajyuwa,∅	∅	1002	1002	∅	∅	1002,∅	∅	1002	1002	∅	∅	1002,∅	∅	∅	∅	∅	∅	∅
ajyuwa_0003,mcbora,téénéllií ihjya méénuúbe,#	tee-ne-lliíhye	i-	ja	meenu	-Vbe,#	3-INAN-BEN	3-	house	do	-M.SG,That is why he built his house,en,MORPHEME_ALIGNED,,ajyuwa_mp3 ajyuwa_wav ajyuwa_eaf ajyuwa_xml ajyuwa_tsv,,25970,27280,##	ln	-ln_pro.h:poss	np:p	v:pred	-pro.h:a,,ajyuwa,∅	∅	1002	1003	∅	1002,∅	∅	1002	1003	∅	1002,∅	∅	∅	new	∅	∅
ajyuwa_0004,mcbora,diityéváa iíjcyaki íhjyáa dííbyema kémúhréjuco,#	di-te-va-pe	i=	ijcya-ki	i-	ja	#	di-Vbe-ma	kémúh-re-juco,#	3-PL-QUOT-REM	3=	be-PURP	3-	house	#	3-M.SG-SOC	many-REST-AFIR,They lived with him in (his) house and perhaps they were too many,en,MORPHEME_ALIGNED,,ajyuwa_mp3 ajyuwa_wav ajyuwa_eaf ajyuwa_xml ajyuwa_tsv,,28160,32090,##	pro.h:dt_s	=pro.h:s	v:pred	-ln_pro.h:poss	np:p	##	pro.h:ncs	other:pred,,ajyuwa,∅	1004	1004	∅	1002	1003	∅	1002	∅,∅	1004	1004	∅	1002	1003	∅	1002	∅,∅	bridging	∅	∅	∅	∅	∅	∅	∅
ajyuwa_0005,mcbora,"aabéváa tsáijyu ɨ́jtsámeí íllímútsikye iámejcánuíñe, wallee wajpii íjcyane",#	aa	-Vbe	-va-pe	tsa-ijyu	ɨ́jtsá-meí	#	i-	llií-mútsi-ke	i=	ámejcá-nu-i-ne	#	wallee	wajpii	ijcya-ne,#	CON	-M.SG	-QUOT-REM	one-CLF.time	think-REFL	#	3-	son-M.DU-ACC	3=	festival-VBZ.do-FUT-INAN	#	woman	man	be-INAN,One day he decided to throw a festival for his son and daughter,en,MORPHEME_ALIGNED,,ajyuwa_mp3 ajyuwa_wav ajyuwa_eaf ajyuwa_xml ajyuwa_tsv,,33700,44540,##	other	-pro.h:s	-other	other	v:pred	#cc:other	-ln_pro.h:poss	np.h:p	=pro.h:s	v:pred	#rc	np.h:pred	rn	cop,,ajyuwa,∅	∅	1002	∅	∅	∅	∅	1002	1005	1002	∅	∅	1005	∅	∅,∅	∅	1002	∅	∅	∅	∅	1002	1005	1002	∅	∅	1005	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	bridging	∅	∅	∅	∅	∅	∅
ajyuwa_0006,mcbora,aabéváa tsúúca ícyuwáábeke néé iúménuíñe walléémuke neebe ditye cáátsoíñe,#	aa	-Vbe	-va-pe	tsúúca	i-	cuwáábe-ke	nee	#	i=	úme-nu-i-ne	#	wallee-mu-ke	nee	-Vbe	#	di-te	caátso-i-ne,#	CON	-M.SG	-QUOT-REM	already	3-	people-ACC	say	#	3=	vegetal_salt-VBZ.do-FUT-INAN	#	woman-PL-ACC	say	-M.SG	#	3-PL	extract_manioc-FUT-INAN,"And he told his people to get vegetal salt and, to the women he said to get manioc",en,MORPHEME_ALIGNED,,ajyuwa_mp3 ajyuwa_wav ajyuwa_eaf ajyuwa_xml ajyuwa_tsv,,46640,53380,##	other	-pro.h:a	-other	other	-ln_pro.h:poss	np.h:p2	v:pred	#cc:p	=pro.h:s	v:pred	##	np.h:p2	v:pred	-pro.h:a	#cc:p	pro.h:s	v:pred,,ajyuwa,∅	∅	1002	∅	∅	1002	1006	∅	∅	1006	∅	∅	1007	∅	1002	∅	1007	∅,∅	∅	1002	∅	∅	1002	1006	∅	∅	1006	∅	∅	1007	∅	1002	∅	1007	∅,∅	∅	∅	∅	∅	∅	bridging	∅	∅	∅	∅	∅	bridging	∅	∅	∅	∅	∅
ajyuwa_0007,mcbora,aaméváa tsúúca teene walléémú íjtyamu ujcújucóóhií,#	aa	-me	-va-pe	tsúúca	tee-ne	wallee-mu	íjtya-mu	ujcu-juco-hi,#	CON	-CLF.PL	-QUOT-REM	already	3-INAN	woman-PL	starch-PL	get-AFIR-PRED,"And they, the women got the starch",en,MORPHEME_ALIGNED,,ajyuwa_mp3 ajyuwa_wav ajyuwa_eaf ajyuwa_xml ajyuwa_tsv,,55510,59040,##	other	-pro.h:dt_a	-other	other	ln	np.h:a	np:p	v:pred,,ajyuwa,∅	∅	1007	∅	∅	∅	1007	1008	∅,∅	∅	1007	∅	∅	∅	1007	1008	∅,∅	∅	∅	∅	∅	∅	∅	new	∅
ajyuwa_0008,mcbora,"diityeváa wajpíímú tsúúca ityáávane ɨ́tojtsó, teene dóóme iwákímyeíki",#	di-te-va-pe	wajpii-mu	tsúúca	#	i=	taáva-ne	%	ɨ́toj-tso	#	tee-ne	doo	-me	#	i=	wákímyei-ki,#	3-PL-QUOT-REM	man-PL	already	#	3=	hunt-INAN	%	smoke-CAUS	#	3-INAN	eat_meat	-PL	#	3=	work-PURP,The men smoked the prey and ate it so as to work,en,MORPHEME_ALIGNED,,ajyuwa_mp3 ajyuwa_wav ajyuwa_eaf ajyuwa_xml ajyuwa_tsv,,61350,65510,##	pro.h:dt_a	np.h:a	other	#cc:p	=pro.h:s	v:pred	%	v:pred	##	other	v:pred	-pro.h:s	#ac	=pro.h:s	v:pred,,ajyuwa,∅	1006	1006	∅	∅	1006	∅	∅	∅	∅	∅	∅	1006	∅	1006	∅,∅	1006	1006	∅	∅	1006	∅	∅	∅	∅	∅	∅	1006	∅	1006	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
ajyuwa_0009,mcbora,"aanéváa ehdu ditye tééné wákimyéiyi íjcyánáa ihjyúvahíjcyámé tsijtye mɨ́amúnaa, dííbyé ajyúwá éévane",#	#	aa-ne-va-pe	e-du	di-te	tee-ne	wákimyéi-ri	ijcya-náa	%	íhjyu-va-híjcya	-me	tsi-te	mɨamúnaa	#	di-Vbe	ajyúwa	eeva-ne,#	#	CON-INAN-QUOT-REM	that-CMPV	3-PL	3-INAN	work-LOC	be-SIM	%	mouth-VBZ.have-REP	-PL	other-PL	true_people	#	3-M.SG	daughter	be_pregnant-INAN,"And while they were working, other people said that his daughter was pregnant",en,MORPHEME_ALIGNED,,ajyuwa_mp3 ajyuwa_wav ajyuwa_eaf ajyuwa_xml ajyuwa_tsv,,67980,77850,##	#ac	other	other	pro.h:s	other	np:l	v:pred	%	v:pred	-rv_pro_h_s	pro_h_s	np.h:s	#cc:other	ln_pro.h:poss	np.h:s	v:pred,,ajyuwa,∅	∅	∅	∅	1006	∅	∅	∅	∅	∅	1009	1009	1009	∅	1002	1010	∅,∅	∅	∅	∅	1006	∅	∅	∅	∅	∅	1009	1009	1009	∅	1002	1010	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	bridging	∅	∅	∅	∅	bridging	∅
ajyuwa_0010,mcbora,aanéváa ɨ́mɨááné lléébolle tsɨɨju ehdu ditye íhjyúvahíjcyáne,#	aa-ne-va-pe	ɨ́mɨá-ne	lleebo	-lle	tsɨɨ́ju	#	e-du	di-te	íhjyu-va-híjcya-ne,#	CON-INAN-QUOT-REM	true-INAN	listen	-F.SG	mother	#	that-CMPV	3-PL	mouth-VBZ.have-REP-INAN,Really her mother heard what they were talking about,en,MORPHEME_ALIGNED,,ajyuwa_mp3 ajyuwa_wav ajyuwa_eaf ajyuwa_xml ajyuwa_tsv,,80510,87530,##	other	other	v:pred	-rv_pro_h_a	np.h:a	#cc:p	other	pro.h:s	v:pred,,ajyuwa,∅	∅	∅	∅	1011	1011	∅	∅	1009	∅,∅	∅	∅	∅	1011	1011	∅	∅	1009	∅,∅	∅	∅	∅	new	∅	∅	∅	∅	∅
